slide,ground_truth,prediction,prob_class_0,prob_class_1
C-8,1,1,3.0445565e-06,0.85770214
C-9,1,1,1.5570321e-06,0.8849656
K-1,1,1,0.0023308387,0.45450708
O-1,1,1,0.0021259193,0.32070264
O-4,1,1,0.011523374,0.05604654
S-1,1,1,8.946271e-06,0.70386654
S-2,1,1,0.0087218415,0.13389516
S-3,1,1,0.0001588832,0.3517649
S-4,1,1,1.1803204e-05,0.816126
S-5,1,1,0.0014578883,0.14509441
S-6,1,1,8.1453e-06,0.67600614
S-7,1,1,0.0005661374,0.3777928
S-8,1,1,3.3092907e-05,0.6146264
S-9,1,1,0.0078765005,0.4765596
T-1,1,1,0.00029203898,0.33618572
T-2,1,1,7.4537165e-05,0.54017705
T-3,1,1,4.347212e-05,0.59581757
T-4,1,1,0.0027378302,0.5498733
W-1,1,1,1.7644461e-05,0.7168989
W-2,1,1,2.2638598e-05,0.6799887
W-3,1,1,8.21204e-05,0.6146422
W-4,1,1,0.00020388438,0.5986747
W-5,1,1,3.8655588e-05,0.5747155
Y-1,1,1,3.7381917e-05,0.47800797
AA-1,1,1,0.033227045,0.1717986
BB-1,1,1,0.00014118874,0.70721126
BB-2,1,1,9.245029e-05,0.7418082
BB-3,1,1,3.2924938e-05,0.7378323
BB-4,1,1,8.175025e-05,0.6414338
BB-5,1,1,0.0012836348,0.54162586
DD-1,1,0,0.19071092,0.06898363
FF-1,1,1,3.695048e-05,0.50398505
FF-2,1,1,6.440183e-07,0.904481
FF-3,1,1,6.446574e-06,0.8239269
FF-4,1,1,2.5592788e-06,0.7901138
FF-5,1,1,4.802078e-06,0.78452295
(A1-3),1,1,0.037361953,0.18394734
