true_label,pred_label,prob_0,prob_1
1,1,0.45597762,0.54402244
1,0,0.54030335,0.45969662
1,0,0.57087684,0.42912313
1,1,0.4483065,0.5516935
1,0,0.5090734,0.49092662
1,1,0.4467552,0.55324477
1,0,0.5493334,0.4506666
1,0,0.594477,0.40552294
1,1,0.43384093,0.56615907
1,1,0.48479536,0.5152046
1,0,0.561872,0.438128
1,0,0.5043648,0.4956352
1,1,0.48452908,0.5154709
1,0,0.52808285,0.4719171
1,1,0.39811257,0.60188746
1,0,0.5460853,0.4539147
1,1,0.462292,0.53770804
1,0,0.5346266,0.46537337
1,1,0.47682235,0.5231777
1,1,0.49028137,0.5097186
1,0,0.5167626,0.48323733
1,0,0.5788435,0.4211565
1,0,0.5192396,0.48076034
1,0,0.5326266,0.46737337
1,0,0.5158127,0.48418733
1,1,0.46886793,0.53113204
1,1,0.47390962,0.5260904
1,0,0.5633879,0.43661207
1,0,0.6221042,0.3778958
0,1,0.42863235,0.5713677
Precision: 0.4228
Recall: 0.4602
F1 Score: 0.4407
Accuracy: 0.5019
AUC: 0.5032
