slide,ground_truth,prediction,prob_class_0,prob_class_1
1.70258E+12,1,0,0.98888445,0.011115491
1.70258E+12,1,0,0.953409,0.04659092
3be35919-9ab1-4f62-bdec-18d98d82efa6,1,1,0.12055526,0.8794448
448746e0-e43f-446c-8017-2148bda88d92,1,1,0.03721485,0.9627852
8384f1ea-6fad-4fdc-97b7-1f305fbea16a,1,1,0.108952194,0.8910478
a4de35f1-b557-417a-a5d4-efc3334a628c,1,1,0.27713972,0.72286034
00006359,1,1,0.3019855,0.6980145
00006360,1,0,0.5776438,0.42235613
00006378,1,1,0.110249765,0.88975024
00006379,1,1,0.11180242,0.8881976
00006380,1,1,0.13967694,0.860323
00006381,1,1,0.116981626,0.88301843
00006382,1,1,0.25003657,0.74996346
00006383,1,1,0.2141509,0.7858491
00006384,1,1,0.15514717,0.84485286
00006385,1,1,0.14268674,0.8573132
00006386,1,1,0.17773545,0.8222645
00006387,1,1,0.239855,0.76014495
00006388,1,1,0.15813166,0.8418682
00006389,1,1,0.23670042,0.7632995
00006390,1,1,0.08617222,0.91382784
00006391,1,1,0.17759801,0.822402
00006392,1,1,0.1840557,0.81594425
00006393,1,1,0.46555987,0.5344401
00006394,1,1,0.44875482,0.55124515
00006395,1,1,0.034459613,0.9655404
00006396,1,1,0.022124639,0.9778754
00006397,1,1,0.023987943,0.97601205
00006361,1,1,0.20379256,0.7962074
00006362,1,1,0.20429315,0.7957069
00006398,1,1,0.3330601,0.6669399
00006399,1,1,0.29105875,0.7089412
00006400,1,0,0.57694143,0.4230586
00006401,1,0,0.6285054,0.37149465
00006402,1,0,0.643599,0.35640106
00006363,1,1,0.46982393,0.5301761
00006364,1,1,0.39135972,0.60864025
00006365,1,1,0.3481131,0.65188694
00006366,1,1,0.27349648,0.72650355
00006367,1,1,0.0016600507,0.99833995
00006368,1,1,0.0019906785,0.99800926
00006369,1,1,0.0021433881,0.9978566
00006370,1,1,0.0041052983,0.99589473
00006371,1,1,0.004605843,0.9953942
00006372,1,1,0.12958618,0.8704138
00006373,1,1,0.11114355,0.8888564
00006374,1,1,0.11086922,0.8891308
00006375,1,1,0.06901903,0.9309809
00006376,1,1,0.05239513,0.9476049
00006377,1,1,0.056752164,0.94324785
missing1,1,1,0.04367185,0.95632815
missing2,1,1,0.087804735,0.91219527
H-1,1,0,0.964005,0.03599496
H-2,1,0,0.9636219,0.036378156
H-3,1,0,0.96744734,0.03255262
H-4,1,0,0.90541524,0.0945848
I-1,1,0,0.8829515,0.11704854
I-2,1,0,0.9608951,0.039104886
I-3,1,0,0.94257706,0.057422984
I-4,1,0,0.73448974,0.26551023
J-1,1,0,0.88699293,0.11300706
J-2,1,0,0.96111536,0.0388846
J-3,1,0,0.7820099,0.21799015
J-4,1,0,0.9671845,0.032815527
J-5,1,0,0.7788043,0.22119571
J-6,1,0,0.96268994,0.037310023
J-7,1,0,0.9481418,0.0518582
J-8,1,0,0.97818536,0.021814624
J-9,1,0,0.8803971,0.11960286
D-1,1,0,0.8319655,0.16803445
L-1,1,0,0.5715468,0.4284532
L-2,1,0,0.7876428,0.21235718
L-3,1,0,0.74261475,0.25738525
M-1,1,0,0.7302387,0.26976138
M-2,1,0,0.76020676,0.23979323
M-3,1,0,0.69619364,0.30380636
M-4,1,0,0.93458074,0.065419205
M-5,1,0,0.8988166,0.101183474
P-1,1,1,0.33144036,0.6685596
P-2,1,0,0.692036,0.30796397
P-3,1,0,0.8155603,0.18443973
P-4,1,0,0.98133534,0.018664708
P-5,1,0,0.6918705,0.30812952
P-6,1,0,0.9037927,0.09620732
Q-1,1,0,0.5515825,0.44841745
Q-2,1,0,0.7061467,0.2938533
Q-3,1,0,0.8903818,0.109618165
Q-4,1,0,0.9319803,0.068019755
Q-5,1,0,0.92819595,0.071804024
Q-6,1,0,0.6862838,0.3137162
Q-7,1,0,0.95310855,0.046891417
R-2,1,0,0.7760431,0.22395688
R-3,1,0,0.9137021,0.08629789
R-4,1,0,0.830345,0.1696549
R-5,1,0,0.84927076,0.15072925
R-6,1,0,0.9625961,0.03740387
R-7,1,0,0.8598357,0.14016432
R-8,1,0,0.9114752,0.08852478
N-1,1,0,0.8252942,0.17470576
U-1,1,0,0.8690885,0.13091157
U-2,1,0,0.86987495,0.13012506
U-3,1,0,0.9587695,0.04123052
U-4,1,0,0.98480636,0.01519364
U-6,1,0,0.7050577,0.2949423
U-7,1,0,0.7427227,0.2572773
V-1,1,0,0.57087827,0.42912176
V-2,1,0,0.69141865,0.30858135
V-3,1,1,0.022511778,0.9774882
V-4,1,1,0.073689185,0.92631084
